"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"41843-9644","SG","James","James Harden","Harden","60.174072265625","27","11400","HOU@LAC","HOU","LAC","","","","",""
"41843-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","58.766664858217595","27","11200","LAL@MIL","MIL","LAL","","","","",""
"41843-9488","SF","LeBron","LeBron James","James","52.13214111328125","28","10300","LAL@MIL","LAL","MIL","","","","",""
"41843-15755","PF","Anthony","Anthony Davis","Davis","53.42692213792067","26","10200","LAL@MIL","LAL","MIL","GTD","Ankle","","",""
"41843-84671","PG","Trae","Trae Young","Young","45.10370551215278","27","9900","UTA@ATL","ATL","UTA","GTD","Calf","","",""
"41843-14513","PF","Kawhi","Kawhi Leonard","Leonard","46.13333275204613","21","9400","HOU@LAC","LAC","HOU","","","","",""
"41843-9642","PG","Russell","Russell Westbrook","Westbrook","44.97083536783854","24","9300","HOU@LAC","HOU","LAC","","","","",""
"41843-14498","PG","Kyrie","Kyrie Irving","Irving","48.29999889026988","11","9200","BKN@SA","BKN","SA","O","Shoulder","","",""
"41843-55059","C","Clint","Clint Capela","Capela","40.07826033882473","23","9100","HOU@LAC","HOU","LAC","","","","",""
"41843-12341","SF","Paul","Paul George","George","39.594445122612846","18","9100","HOU@LAC","LAC","HOU","","","","",""
"41843-66113","SG","Donovan","Donovan Mitchell","Mitchell","38.285183376736114","27","8600","UTA@ATL","UTA","ATL","","","","",""
"41843-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","35.507407859519674","27","8000","BKN@SA","BKN","SA","","","","",""
"41843-40203","C","Rudy","Rudy Gobert","Gobert","38.9039990234375","25","7800","UTA@ATL","UTA","ATL","","","","",""
"41843-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","36.987500508626304","24","7600","BKN@SA","SA","BKN","","","","",""
"41843-9714","SG","DeMar","DeMar DeRozan","DeRozan","36.25","26","7000","BKN@SA","SA","BKN","","","","",""
"41843-12355","PG","Eric","Eric Bledsoe","Bledsoe","31.04230675330529","26","6700","LAL@MIL","MIL","LAL","O","Lower leg","","",""
"41843-67708","PG","Dejounte","Dejounte Murray","Murray","27.360869034476902","23","6600","BKN@SA","SA","BKN","","","","",""
"41843-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","29.28076876126803","26","6600","UTA@ATL","UTA","ATL","","","","",""
"41843-23776","C","Montrezl","Montrezl Harrell","Harrell","35.227585365032326","29","6500","HOU@LAC","LAC","HOU","","","","",""
"41843-16261","SG","Khris","Khris Middleton","Middleton","31.157142275855655","21","6400","LAL@MIL","MIL","LAL","","","","",""
"41843-80821","PF","Jarrett","Jarrett Allen","Allen","31.77777777777778","27","6100","BKN@SA","BKN","SA","","","","",""
