Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-12-15,SG,"Holiday, Jrue",47.8,"7,600",nor,v orl, 119-130,40:07,   29pt 4rb 8as 1st 1bl 4to 4trey 12-20fg 1-2ft
2019-12-15,PG,"Young, Trae",47.7,"9,600",atl,v lal, 96-101,36:27,   30pt 6rb 7as 2st 6to 3trey 9-22fg 9-11ft
2019-12-15,PG,"Simmons, Ben",38.5,"8,600",phi,@ bkn, 89-109,28:47,   20pt 5rb 3as 1st 2bl 1to 7-10fg 6-8ft
2019-12-15,PG,"Payton, Elfrid",37.9,"4,800",nyk,@ den, 105-111,25:23,   10pt 7rb 11as 1st 5-13fg
2019-12-15,PG,"Ntilikina, Frank",37,"3,500",nyk,@ den, 105-111,23:47,   13pt 5rb 4as 4st 2trey 4-6fg 3-3ft
2019-12-15,SG,"Bogdanovic, Bogdan",35.5,"4,700",sac,@ gsw, 100-79,29:28,   25pt 5rb 5as 1st 6to 4trey 9-11fg 3-3ft
2019-12-15,SG,"Graham, Devonte",34.2,"8,000",cha,@ ind, 85-107,37:20,   12pt 6rb 4as 2st 2bl 3to 3trey 3-18fg 3-6ft
2019-12-15,PG,"Dinwiddie, Spencer",33,"7,700",bkn,v phi, 109-89,29:43,   24pt 6as 1st 3to 2trey 9-21fg 4-6ft
2019-12-15,SG,"Redick, JJ",32.9,"4,400",nor,v orl, 119-130,35:53,   23pt 2rb 3as 1bl 5trey 9-16fg
2019-12-15,SG,"Hield, Buddy",32.8,"7,800",sac,@ gsw, 100-79,33:19,   19pt 4rb 4as 2st 3to 2trey 8-11fg 1-1ft
2019-12-15,PG,"Augustin, DJ",32.2,"5,200",orl,@ nor, 130-119,24:51,   17pt 1rb 8as 1st 1to 2trey 4-8fg 7-7ft
2019-12-15,SG,"Hart, Josh",31.5,"4,500",nor,v orl, 119-130,30:31,   20pt 5rb 1as 2st 2to 4trey 7-15fg 2-2ft
2019-12-15,PG,"Holiday, Aaron",31.2,"3,600",ind,v cha, 107-85,20:57,   23pt 6rb 2as 2to 2trey 6-10fg 9-10ft
2019-12-15,PG,"Rondo, Rajon",30.9,"4,800",lal,@ atl, 101-96,26:02,   11pt 7rb 5as 2st 2to 1trey 4-10fg 2-2ft
2019-12-15,SG,"Lamb, Jeremy",30.7,"5,800",ind,v cha, 107-85,24:41,   9pt 6rb 1as 3st 2bl 2to 1trey 3-9fg 2-2ft
2019-12-15,SG,"Lee, Damion",27.5,"3,800",gsw,v sac, 79-100,34:30,   13pt 5rb 5as 1st 2to 6-15fg 1-1ft
2019-12-15,PG,"McConnell, TJ",26.4,"3,600",ind,v cha, 107-85,22:40,   12pt 2rb 8as 6-10fg
2019-12-15,SG,"Fournier, Evan",26.2,"6,700",orl,@ nor, 130-119,28:09,   16pt 1rb 4as 1st 3trey 6-14fg 1-1ft
2019-12-15,PG,"Murray, Jamal",26.2,"6,800",den,v nyk, 111-105,32:37,   14pt 6rb 4as 1to 2trey 5-14fg 2-2ft
2019-12-15,PG,"Fultz, Markelle",25.9,"6,100",orl,@ nor, 130-119,29:38,   10pt 2rb 7as 1st 1bl 3to 4-6fg 2-4ft
2019-12-15,SG,"Harris, Gary",25.1,"4,800",den,v nyk, 111-105,38:27,   15pt 3rb 3as 1st 1to 2trey 5-11fg 3-4ft
2019-12-15,PG,"Ball, Lonzo",25,"5,700",nor,v orl, 119-130,27:03,   9pt 5rb 6as 1st 2to 2trey 3-7fg 1-3ft
2019-12-15,PG,"Brogdon, Malcolm",24.7,"8,100",ind,v cha, 107-85,25:20,   11pt 1rb 7as 1st 1to 1trey 4-11fg 2-2ft
2019-12-15,SG,"Monk, Malik",23.5,"3,700",cha,@ ind, 85-107,25:00,   14pt 5rb 3as 1to 5-13fg 4-4ft
2019-12-15,SG,"Green, Danny",23.2,"4,000",lal,@ atl, 101-96,20:53,   10pt 6rb 2st 2-8fg 6-6ft
2019-12-15,SG,"Martin, Cody",22.7,"3,500",cha,@ ind, 85-107,27:36,   9pt 6rb 1as 1st 1bl 1to 1trey 2-4fg 4-6ft
2019-12-15,SG,"Ross, Terrence",22.1,"5,100",orl,@ nor, 130-119,23:34,   14pt 3rb 1as 1st 4trey 5-9fg
