Date,Name,Position,Salary,Projected FD PTS,Actual FD PTS,Found?
2016-10-25,Damian Lillard,PG,8900,37.42373408699745,54.8,0
2016-10-25,LaMarcus Aldridge,PF,7400,34.43855646251039,47.3,0
2016-10-25,Jonathon Simmons,SF,3500,20.28605595799345,29.3,0
2016-10-25,Kyle Anderson,SF,3500,16.733274844724093,9.8,0
2016-10-25,Dewayne Dedmon,C,3900,12.876110486166375,16.6,0
2016-10-25,Pau Gasol,C,7600,19.959124814078947,7.3,0
2016-10-25,Justin Holiday,SG,3800,18.718304080068577,20.2,0
2016-10-25,Derrick Rose,PG,6000,27.08693043888575,20.1,0
2016-10-25,Brandon Jennings,PG,4500,16.598745412783913,17.1,0
2016-10-25,Courtney Lee,SG,3900,14.609607617608445,3.6,0
2016-10-25,Kristaps Porzingis,PF,6900,31.542559712173773,28.4,0
2016-10-25,Carmelo Anthony,SF,8000,31.265511856851568,27.5,0
2016-10-25,Lance Thomas,SF,3500,12.371916977168649,7.7,0
2016-10-25,Maurice Harkless,SF,5600,20.56654837781584,4.7,0
2016-10-25,Joakim Noah,C,5000,16.531232558670602,12.7,0
2016-10-25,Kyle O'Quinn,C,3700,11.517497433487337,12.5,0
2016-10-25,Noah Vonleh,PF,3500,13.03315329599909,14.2,0
2016-10-25,Al-Farouq Aminu,PF,5000,24.011588135391776,16.3,0
2016-10-25,Ed Davis,PF,3900,19.16713293232485,17.9,0
2016-10-25,Evan Turner,SF,5600,23.75599753408904,20.5,0
2016-10-25,Mason Plumlee,C,5500,15.252226588751235,4.7,0
2016-10-25,Allen Crabbe,SG,4200,23.827096454798816,24.1,0
2016-10-25,Kawhi Leonard,SF,7900,33.343582742847296,53.5,0
2016-10-25,Manu Ginobili,SG,3600,13.826804703904777,21.0,0
2016-10-25,LeBron James,SF,9600,36.750182271660854,51.2,0
2016-10-25,Kevin Love,PF,6800,25.77651701634841,44.4,0
2016-10-25,Richard Jefferson,SF,3500,19.156301942241782,21.3,0
2016-10-25,Tristan Thompson,C,4800,19.496182815841987,5.2,0
2016-10-25,Rodney Hood,SG,5400,32.423252118339036,35.9,0
2016-10-25,George Hill,PG,5600,33.08113012720263,35.4,0
2016-10-25,Shelvin Mack,PG,4600,12.989254578497846,15.2,0
2016-10-25,Joe Johnson,SF,5400,26.94965594295632,38.3,0
2016-10-25,Trey Lyles,PF,4000,14.672268258199185,7.4,0
2016-10-25,Kyrie Irving,PG,7100,29.97939710414689,41.4,0
2016-10-25,Boris Diaw,PF,3500,24.364667964189092,4.6,0
2016-10-25,Rudy Gobert,C,6200,36.68366210067469,32.8,0
2016-10-25,Stephen Curry,PG,9300,36.80229581960831,31.6,0
2016-10-25,Klay Thompson,SG,6500,31.02415463346664,14.2,0
2016-10-25,Kevin Durant,SF,9300,40.049356161034154,53.0,0
2016-10-25,Draymond Green,PF,8200,34.8657393709788,51.4,0
2016-10-25,Andre Iguodala,SF,4300,21.478381366984067,9.9,0
2016-10-25,Zaza Pachulia,C,4800,17.920179445280183,4.1,0
2016-10-25,Patty Mills,PG,3900,13.811764010355,27.7,0
2016-10-25,Tony Parker,PG,5000,21.076817019743842,16.6,0
2016-10-25,CJ McCollum,SG,6900,33.473224052973016,30.9,0
2016-10-25,JR Smith,SG,4500,20.89619268621641,16.6,0
2016-10-26,Nick Young,SG,3500,19.693740306723317,15.1,0
2016-10-26,Alex Len,C,6000,23.505822496792053,20.4,0
2016-10-26,Roy Hibbert,C,3500,24.361329563113788,38.3,0
2016-10-26,Amir Johnson,PF,5000,17.760483984016638,17.4,0
2016-10-26,DeMarcus Cousins,C,10000,32.114697284241146,33.2,0
2016-10-26,Jaylen Brown,SF,3500,15.241431049462495,17.9,0
2016-10-26,Wade Baldwin IV,PG,3900,20.433693034341463,33.0,0
2016-10-26,Tyson Chandler,C,5000,18.982364059345066,19.0,0
2016-10-26,Karl-Anthony Towns,C,8800,38.18662397719674,35.3,0
2016-10-26,Dion Waiters,SG,4500,28.84716183917232,21.2,0
2016-10-26,Willie Cauley-Stein,PF,5400,17.68481348803099,10.4,0
2016-10-26,Omer Asik,C,3700,12.813295651212494,4.7,0
2016-10-26,Mike Conley,PG,6800,28.50845942375237,31.2,0
2016-10-26,Jae Crowder,SF,5500,26.959466076981602,34.0,0
2016-10-26,Anthony Tolliver,PF,3500,10.591208569000887,15.0,0
2016-10-26,Kentavious Caldwell-Pope,SG,5500,34.02053145409788,11.5,0
2016-10-26,Dwight Powell,PF,3800,12.153977902656786,11.9,0
2016-10-26,Terry Rozier,PG,3500,21.80082041378499,16.1,0
2016-10-26,Gerald Green,SG,3800,10.499867602278613,17.0,0
2016-10-26,Matt Barnes,SF,4300,21.71550310965079,25.9,0
2016-10-26,Andrew Harrison,PG,3500,30.0136330877355,12.6,0
2016-10-26,Rudy Gay,SF,6900,31.45707805643536,36.6,0
2016-10-26,Avery Bradley,SG,5600,29.803186031025525,34.3,0
2016-10-26,Ish Smith,PG,6400,30.13171446087871,19.7,0
2016-10-26,Solomon Hill,SF,4300,22.473731495701777,4.7,0
2016-10-26,Jonas Jerebko,PF,4600,15.684673818151946,16.7,0
2016-10-26,Al Horford,C,7000,27.11132661081902,32.0,0
2016-10-26,Gorgui Dieng,PF,5500,29.682975902059546,37.8,0
2016-10-26,Terrence Jones,PF,4200,15.83593376071668,17.1,0
2016-10-26,Dario Saric,PF,4900,23.26855104274421,14.4,0
2016-10-26,DeMarre Carroll,SF,4700,23.65774618470675,19.9,0
2016-10-26,Jerami Grant,SF,5200,19.477563097316345,16.8,0
2016-10-26,Devin Booker,SG,6200,24.62375947338712,20.9,0
2016-10-26,Marco Belinelli,SG,3500,19.14009121868656,13.3,0
